PLAYER_NAME,PLAYER_ID,POS
Connor Bedard,1,C
Adam Fantilli,2,C
Leo Carlsson,3,C
William Smith,4,C
David Reinbacher,5,RD
Dalibor Dvorsky,6,C
Ryan Leonard,7,RW
Matvei Michkov,8,RW
Gabriel Perreault,9,LW
Tom Willander,10,RD
Nate Danielson,11,C
Matthew Wood,12,RW
Dmitri Simashev,13,LD
Zach Benson,14,LW
Samuel Honzek,15,LW
Colby Barlow,16,LW
Danil But,17,RW
Oliver Moore,18,C
Brayden Yager,19,C
Axel Sandin Pellikka,20,RD
David Edstrom,21,C
Oliver Bonk,22,RD
Calum Ritchie,23,C
Quentin Musty,24,LW
Etienne Morin,25,LD
Michael Hrabal,26,G
Tanner Molendyk,27,LD
Eduard Sale,28,LW
Charlie Stramel,29,C
Gavin Brindley,30,C
Bradly Nadeau,31,LW
Danny Nelson,32,C
Anton Wahlberg,33,C
Mikhail Gulyayev,34,LD
Otto Stenberg,35,C
Lukas Dragicevic,36,RD
Carson Kehkopf,37,LW
Maxim Strbak,38,RD
Theo Lindstein,39,LD
Kalan Lind,40,LW
Beau Akey,41,RD
Oscar Fisker Molgaard,42,C
Felix Nilsson,43,C
Kasper Halttunen,44,RW
Andrew Cristall,45,LW
Ethan Gauthier,46,RW
Luca Cagnoni,47,LD
Juraj Pekarcik,48,LW
Riley Heidt,49,C
Nico Myatovic,50,LW
Carson Bjarnason,51,G
Trey Augustine,52,G
Coulson Pitre,53,RW
Jakuv Dvorak,54,LD
Carey Terrance,55,C
Adam Gajan,56,G
Andrew Gibson,57,RD
Lenni Hameenaho,58,RW
Koehn Ziemmer,59,RW
Damian Clara,60,G
Easton Cowan,61,C
Mathieu Cataford,62,C
Andrew Strathmann,63,LD
Ethan Miedema,64,LW
Emil Pieniniemi,65,LD
Hunter Brzustewicz,66,RD
Jayden Perron,67,RW
Arttu Karkki,68,LD
Gavin McCarthy,69,RD
Alex Pharand,70,C
Aiden Fink,71,RW
Jacob Fowler,72,G
Quinton Burns,73,LD
Jesse Kiiskinen,74,RW
Alex Ciernik,75,RW
Felix Under Sorum,76,RW
Hoyt Stanley,77,RD
Nick Lardis,78,RW
Alexander Rykov,79,RW
Gracyn Sawchyn,80,C
Tristan Bertucci,81,LD
Martin Misiak,82,RW
Caden Price,83,LD
Noah Dower Nilsson,84,LW
Zach Nehring,85,RW
Brandon Svoboda,86,C
Dylan Mackinnon,87,RD
Jonathan Castagna,88,C
Albert Wikman,89,LD
William Whitelaw,90,RW
Larry Keenan,91,LD
Rasmus Kumpulainen,92,C
Aram Minnetian,93,RD
Roman Kantserov,94,RW
Cameron Allen,95,RD
Zaccharya Wisdom,96,RW
Michael Emerson,97,C
Tuomas Uronen,98,RW
Jesse Nurmi,99,LW
Tanner Ludtke,100,C
Zeb Forsfjall,101,C
Frantisek Dej,102,C
Luca Pinelli,103,C
Timur Mukhanov,104,LW
Beckett Hendrickson,105,LW
Konnor Smith,106,LD
Yegor Sidorov,107,RW
Drew Fortescue,108,LD
Yegor Rimashevskiy,109,RW
Tyler Peddle,110,LW
Luke Mcnamara,111,C
Noel Nordh,112,RW
Gabriel Szturc,113,C
Denver Barkey,114,C
Aydar Suniev,115,LW
Jaden Lipinski,116,C
Ruslan Khazheyev,117,G
Brady Cleveland,118,LD
Matteo Mann,119,RD
Chase Cheslock,120,RD
Brad Gardiner,121,C
Paul Fischer,122,LD
Connor Levis,123,RW
Hudson Malinoski,124,C
Sawyer Mynio,125,LD
Jayson Shaugabay,126,RW
Daniil Karpovich,127,LD
Max Lundgren,128,G
Milton Oscarson,129,C
Matteo Fabrizi,130,LD
Joseph Connor,131,LW
Jake Fisher,132,C
Austin Roest,133,C
Cam Squires,134,RW
Alexander Hellnemo,135,G
Scott Ratzlaff,136,G
Jakub Stancl,137,LW
Zachara Schulz,138,LD
Sean Keohane,139,LD
Samuel Mayer,140,LD
Anthony Romani,141,C
Matthew Mania,142,RD
Cole Knuble,143,RW
Nicholas Vantassell,144,RW
Nikita Susuyev,145,RW
Aaron Pionk,146,LD
Kalem Parker,147,RD
Andrei Loshko,148,RW
Carter Sotheran,149,RD
Stephen Peck,150,G
Casper Nassen,151,RW
Ivan Anoshko,152,C
Francesco Dell'Elce,153,LD
Emil Jarventie,154,LW
Petter Vesterheim,155,C
Vadim Moroz,156,RW
Tanner Adams,157,RW
Kaden Hammell,158,RD
Mazden Leslie,159,RD
Deagan Mcmillan,160,RW
Benjamin Poitras,161,C
Janne Peltonen,162,LD
Egor Zavragin,163,G
Michael Hagens,164,LD
Ethan Gardula,165,LW
