Team,Type,POS,Name,Specific POS,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency,PLAYER_ID
COL,Prospects,F,Calum Ritchie,C,18,R,Drafted (27 - 2023),59,24,35,59,,,OHL,,12,0,23
COL,Prospects,F,Maros Jedlicka,C,20,L,Drafted (219 - 2023),39,17,18,35,,,Slovak Extraliga,,22,0,276
COL,Prospects,D,Mikhail Gulyayev,LD,18,L,Drafted (31 - 2023),22,2,23,25,,,MHL,,13,0,34
COL,Prospects,D,Nikita Ishimnikov,RD,18,R,Drafted (155 - 2023),41,11,7,18,,,MHL,,5,0,209
COL,Prospects,D,Jeremy Hanzel,LD,20,L,Drafted (187 - 2023),66,13,35,48,,,WHL,,8,0,179
CHI,Majors,C,Connor Bedard,C,18,R,Drafted (1 - 2023),57,71,72,143,,,WHL,,29,0,1
CHI,Prospects,F,Oliver Moore,C,18,L,Drafted (19 - 2023),61,31,44,75,,,NTDP,"*After high school, only has national teams",20,0,18
CHI,Prospects,F,Roman Kantserov,RW,18,L,Drafted (44 - 2023),45,27,27,54,,,MHL,*no translation,14,0,94
CHI,Prospects,F,Martin Misiak,RW,18,L,Drafted (55 - 2023),27,6,11,17,,,USHL,"*no translation, has another team with slightly more games but much worse stats",7,0,82
CHI,Prospects,F,Nick Lardis,RW,18,L,Drafted (67 - 2023),69,37,28,65,,,OHL,,11,0,78
CHI,Prospects,F,Jiri Felcman,C,18,L,Drafted (93 - 2023),40,10,21,31,,,U20 Elit,,3,0,226
CHI,Prospects,F,Alex Pharand,C,18,R,Drafted (99 - 2023),67,18,21,39,,,OHL,,7,0,70
CHI,Prospects,F,Marcel Marcel,LW,19,L,Drafted (131 - 2023),52,14,18,32,,,QMJHL,,6,0,237
CHI,Prospects,F,Milton Oscarson,C,20,L,Drafted (167 - 2023),45,1,2,3,,,SHL,,3,0,129
CHI,Prospects,D,Janne Peltonen,LD,18,L,Drafted (195 - 2023),40,3,6,9,,,U20SM-sarja,,2,0,162
CHI,Prospects,G,Adam Gajan,G,19,L,Drafted (35 - 2023),34,0,0,0,2.57,0.917,NAHL,,0,0.862711737,56
STL,Loaned,F,Dalibor Dvorsky,C,18,L,Drafted (10 - 2023),38,6,8,14,,,HockeyAllsvenskan,,11,0,6
STL,Prospects,F,Otto Stenberg,C,18,L,Drafted (25 - 2023),29,11,15,26,,,J20 Nationell,*has SHL for less games,7,0,35
STL,Prospects,F,Juraj Pekarcik,LW,17,L,Drafted (76 - 2023),30,0,3,3,,,Slovak Extraliga,,2,0,48
STL,Prospects,F,Jakub Stancl,LW,18,L,Drafted (106 - 2023),35,11,6,17,,,J20 Nationell,,4,0,137
STL,Prospects,F,Nikita Susuyev,RW,18,L,Drafted (202 - 2023),38,11,17,28,,,MHL,,9,0,145
STL,Prospects,D,Theo Lindstein,LD,18,L,Drafted (29 - 2023),32,1,1,2,,,SHL,,3,0,39
STL,Prospects,D,Quinton Burns,LD,18,L,Drafted (74 - 2023),54,2,27,29,,,OHL,,6,0,73
STL,Prospects,D,Paul Fischer,LD,18,L,Drafted (138 - 2023),22,2,4,6,,,USHL,*U18 Naional team has more games,3,0,122
