,Team,Type,POS,Name,POS.1,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency
0,Avalanche,Majors,RD,"Byram, Bowen",LD/RD,22,L,Drafted (4 - 2019),42,10.0,14.0,24.0,,,NHL,,24.0,0.0
1,Avalanche,Majors,F,"Foudy, Jean-Luc",C,21,R,Drafted (75 - 2020),46,11.0,25.0,36.0,,,AHL,,25.0,0.0
2,Avalanche,Minors,F,"Olausson, Oskar",RW,20,L,Drafted (28 - 2021),63,11.0,9.0,20.0,,,AHL,,10.0,0.0
3,Avalanche,Minors,F,"Beaucage, Alex",RW,22,R,Drafted (78 - 2019),63,8.0,12.0,20.0,,,AHL,,10.0,0.0
4,Avalanche,Minors,F,"Pavel, Ondrej","C, LW, RW",23,L,Signed to ELC,39,6.0,9.0,15.0,,,NCAA,,6.0,0.0
5,Avalanche,Minors,F,"Polin, Jason",RW,24,R,Signed to ELC,39,30.0,17.0,47.0,,,NCAA,,19.0,0.0
6,Avalanche,Minors,F,"Stienburg, Matthew","C, RW",22,R,Drafted (63 - 2019),18,2.0,5.0,7.0,,,NCAA,,6.0,0.0
7,Avalanche,Minors,D,"Fairbrother, Gianni",LD/RD,22,L,Traded,25,1.0,6.0,7.0,,,AHL,,9.0,0.0
8,Avalanche,Minors,G,"Annunen, Justus",G,23,L,Drafted (64 - 2018),41,0.0,0.0,0.0,2.54,0.916,AHL,,0.0,0.887401097
9,Avalanche,Minors,G,"Miner, Trent",G,22,L,Drafted (202 - 2019),37,0.0,0.0,0.0,3.04,0.91,ECHL,*no translation,0.0,0.866838405
10,Avalanche,Loaned,F,"Kovalenko, Nikolai",RW,23,L,Drafted (171 - 2018),56,21.0,33.0,54.0,,,KHL,,61.0,0.0
11,Avalanche,Prospects,F,"Ritchie, Calum",C,18,R,Drafted (27 - 2023),59,24.0,35.0,59.0,,,OHL,,12.0,0.0
12,Avalanche,Prospects,F,"Buyalsky, Andrei",C,23,L,Drafted (92 - 2021),34,5.0,13.0,18.0,,,NCAA,,8.0,0.0
13,Avalanche,Prospects,F,"Ambrosio, Colby",C,21,R,Drafted (118 - 2020),36,10.0,11.0,21.0,,,NCAA,,9.0,0.0
14,Avalanche,Prospects,F,"Jedlicka, Maros",C,20,L,Drafted (219 - 2023),39,17.0,18.0,35.0,,,Slovak Extraliga,,22.0,0.0
15,Avalanche,Prospects,F,"Makar, Taylor",C,22,L,Drafted (220 - 2021),32,10.0,2.0,12.0,,,NCAA,,6.0,0.0
16,Avalanche,Prospects,D,"Gulyayev, Mikhail",LD,18,L,Drafted (31 - 2023),22,2.0,23.0,25.0,,,MHL,,13.0,0.0
17,Avalanche,Prospects,D,"Behrens, Sean",LD,20,L,Drafted (61 - 2021),31,3.0,18.0,21.0,,,NCAA,,11.0,0.0
18,Avalanche,Prospects,D,"Ishimnikov, Nikita",RD,18,R,Drafted (155 - 2023),41,11.0,7.0,18.0,,,MHL,,5.0,0.0
19,Avalanche,Prospects,D,"Hanzel, Jeremy",LD,20,L,Drafted (187 - 2023),66,13.0,35.0,48.0,,,WHL,,8.0,0.0
20,Avalanche,Prospects,D,"Romaine, Chris",RD,19,R,Drafted (193 - 2022),48,0.0,10.0,10.0,,,USHL,,2.0,0.0
21,Avalanche,Prospects,G,"Zhigalov, Ivan",G,20,R,Drafted (225 - 2022),45,0.0,0.0,0.0,3.59,0.889,OHL,,0.0,0.858594193
22,Avalanche,Reserve,F,"Ranta, Sampo",LW,23,L,Drafted (78 - 2018),58,11.0,11.0,22.0,,,AHL,,12.0,0.0
23,Blackhawks,Majors,C,"Bedard, Connor",C,18,R,Drafted (1 - 2023),57,71.0,72.0,143.0,,,WHL,,29.0,0.0
24,Blackhawks,Majors,LW,"Kurashev, Philipp","LW, C, RW",23,L,Drafted (120 - 2018),70,9.0,15.0,25.0,,,NHL,,25.0,0.0
25,Blackhawks,Majors,C,"Reichel, Lukas","LW, C",21,L,Drafted (17 - 2020),55,20.0,31.0,51.0,,,AHL,,30.0,0.0
26,Blackhawks,Majors,LD,"Korchinski, Kevin",LD,19,L,Drafted (7 - 2022),54,11.0,62.0,73.0,,,WHL,,16.0,0.0
27,Blackhawks,Majors,LD,"Vlasic, Alex",LD,22,L,Drafted (43 - 2019),56,2.0,17.0,19.0,,,AHL,,11.0,0.0
28,Blackhawks,Minors,F,"Ludwinski, Paul",C,19,L,Drafted (39 - 2022),47,9.0,25.0,34.0,,,OHL,,9.0,0.0
29,Blackhawks,Minors,F,"Dach, Colton",C,20,L,Drafted (62 - 2021),23,12.0,15.0,27.0,,,WHL,,14.0,0.0
30,Blackhawks,Minors,F,"Hayes, Gavin",LW,19,R,Drafted (66 - 2022),66,41.0,40.0,81.0,,,OHL,,14.0,0.0
31,Blackhawks,Minors,F,"Savoie, Samuel",LW,19,L,Drafted (81 - 2022),60,26.0,33.0,59.0,,,QMJHL,,9.0,0.0
32,Blackhawks,Minors,F,"Teplý, Michal",LW,22,R,Drafted (105 - 2019),56,9.0,16.0,25.0,,,AHL,,14.0,0.0
33,Blackhawks,Minors,F,"Luypen, Jalen",C,21,L,Drafted (216 - 2021),38,18.0,21.0,39.0,,,WHL,,12.0,0.0
34,Blackhawks,Minors,F,"Rolston, Ryder","C, LW, RW",21,R,Traded,27,7.0,13.0,20.0,,,NCAA,,12.0,0.0
35,Blackhawks,Minors,D,"Phillips, Isaak",LD,21,L,Drafted (141 - 2020),51,6.0,17.0,23.0,,,AHL,,14.0,0.0
36,Blackhawks,Minors,D,"Kaiser, Wyatt",LD,21,L,Drafted (81 - 2020),35,5.0,18.0,23.0,,,NCAA,,10.0,0.0
37,Blackhawks,Minors,D,"Allan, Nolan",LD,20,L,Drafted (32 - 2021),57,11.0,16.0,27.0,,,WHL,,5.0,0.0
38,Blackhawks,Minors,D,"Del Mastro, Ethan",LD,20,L,Drafted (105 - 2021),52,7.0,52.0,59.0,,,OHL,,13.0,0.0
39,Blackhawks,Minors,D,"Crevier, Louis",RD,22,R,Drafted (188 - 2020),62,0.0,5.0,5.0,,,AHL,,3.0,0.0
40,Blackhawks,Minors,G,"Commesso, Drew",G,21,L,Drafted (46 - 2020),34,0.0,0.0,0.0,2.46,0.913,NCAA,,0.0,0.872153165
41,Blackhawks,Loaned,F,"Saarela, Antti",C,22,L,Drafted (123 - 2019),41,7.0,11.0,18.0,,,Liiga,,16.0,0.0
42,Blackhawks,Prospects,F,"Nazar, Frank","RW, C",19,R,Drafted (13 - 2022),13,2.0,5.0,7.0,,,NCAA,*figure out college acronym,9.0,0.0
43,Blackhawks,Prospects,F,"Moore, Oliver",C,18,L,Drafted (19 - 2023),61,31.0,44.0,75.0,,,NTDP,"*After high school, only has national teams",20.0,0.0
44,Blackhawks,Prospects,F,"Kantserov, Roman",RW,18,L,Drafted (44 - 2023),45,27.0,27.0,54.0,,,MHL,*no translation,14.0,0.0
45,Blackhawks,Prospects,F,"Misiak, Martin",RW,18,L,Drafted (55 - 2023),27,6.0,11.0,17.0,,,USHL,"*no translation, has another team with slightly more games but much worse stats",7.0,0.0
46,Blackhawks,Prospects,F,"Greene, Ryan",C,19,R,Drafted (57 - 2022),38,9.0,22.0,31.0,,,NCAA,,13.0,0.0
47,Blackhawks,Prospects,F,"Lardis, Nick",RW,18,L,Drafted (67 - 2023),69,37.0,28.0,65.0,,,OHL,,11.0,0.0
48,Blackhawks,Prospects,F,"Slaggert, Landon",C,21,L,Drafted (79 - 2020),35,7.0,6.0,13.0,,,NCAA,,6.0,0.0
49,Blackhawks,Prospects,F,"Thompson, Aidan",C,21,L,Drafted (90 - 2022),32,10.0,22.0,32.0,,,NCAA,,16.0,0.0
50,Blackhawks,Prospects,F,"Felcman, Jiri",C,18,L,Drafted (93 - 2023),40,10.0,21.0,31.0,,,U20 Elit,,3.0,0.0
