Team,df_F,df_LD,df_RD,df_G
COL,0.9375,0.78125,0.9375,0.59375
CHI,0.4375,0.03125,0.3125,0.84375
CBJ,0.09375,0.09375,0.15625,0.25
STL,0.40625,0.375,0.5625,0.5
BOS,0.5625,0.59375,0.71875,0.71875
MTL,0.171875,0,0.34375,0.125
VAN,0.8125,0.21875,0.65625,0.21875
WSH,0.53125,0.90625,0.5,0.96875
ARI,0.0625,0.4375,0.46875,0.875
NJD,0.5,0.25,0.375,0.03125
ANA,0.21875,0.125,0.03125,0.625
CAGY,0.75,0.9375,0.96875,0.46875
PHI,0.3125,0.40625,0.625,0.5625
CAR,0.125,0.3125,0.1875,0.15625
NYI,0.875,0.1875,0.84375,0.90625
WPG,0.625,0.46875,0.28125,0.40625
LAK,0.6875,0.53125,0,0.9375
VGK,0.90625,0.65625,0.59375,0.28125
SEA,0.171875,0.71875,0.21875,0.1875
TOR,0.25,0.96875,0.875,0.375
TBL,0.84375,0.875,0.09375,0.75
EDM,0.71875,0.8125,0.8125,0.6875
FLA,0.78125,0.6875,0.40625,0.0625
PIT,0.96875,0.5625,0.53125,0
NSH,0.59375,0.5,0.0625,0.78125
NYR,0.34375,0.84375,0.75,0.34375
DET,0.03125,0.15625,0.78125,0.4375
BUF,0,0.28125,0.6875,0.65625
OTT,0.65625,0.34375,0.90625,0.09375
SJS,0.375,0.0625,0.4375,0.8125
DAL,0.46875,0.75,0.25,0.3125
MIN,0.28125,0.625,0.125,0.53125
