PLAYER_NAME,PLAYER_ID,RANK
Connor Bedard,1,1
Adam Fantilli,2,2
Leo Carlsson,3,3
William Smith,4,4
David Reinbacher,5,5
Dalibor Dvorsky,6,6
Ryan Leonard,7,7
Matvei Michkov,8,8
Gabriel Perreault,9,9
Tom Willander,10,10
Nate Danielson,11,11
Matthew Wood,12,12
Dmitri Simashev,13,13
Zach Benson,14,14
Samuel Honzek,15,15
Colby Barlow,16,16
Danil But,17,17
Oliver Moore,18,18
Brayden Yager,19,19
Axel Sandin Pellikka,20,20
David Edstrom,21,21
Oliver Bonk,22,22
Calum Ritchie,23,23
Quentin Musty,24,24
Etienne Morin,25,25
Michael Hrabal,26,26
Tanner Molendyk,27,27
Eduard Sale,28,28
Charlie Stramel,29,29
Gavin Brindley,30,30
Bradly Nadeau,31,31
Danny Nelson,32,32
Anton Wahlberg,33,33
Mikhail Gulyayev,34,34
Otto Stenberg,35,35
Lukas Dragicevic,36,36
Carson Kehkopf,37,37
Maxim Strbak,38,38
Theo Lindstein,39,39
Kalan Lind,40,40
Beau Akey,41,41
Oscar Fisker Molgaard,42,42
Felix Nilsson,43,43
Kasper Halttunen,44,44
Andrew Cristall,45,45
Ethan Gauthier,46,46
Luca Cagnoni,47,47
Juraj Pekarcik,48,48
Riley Heidt,49,49
Nico Myatovic,50,50
Carson Bjarnason,51,51
Trey Augustine,52,52
Coulson Pitre,53,53
Jakuv Dvorak,54,54
Carey Terrance,55,55
Adam Gajan,56,56
Andrew Gibson,57,57
Lenni Hameenaho,58,58
Koehn Ziemmer,59,59
Damian Clara,60,60
Easton Cowan,61,61
Mathieu Cataford,62,62
Andrew Strathmann,63,63
Ethan Miedema,64,64
Emil Pieniniemi,65,65
Hunter Brzustewicz,66,66
Jayden Perron,67,67
Arttu Karkki,68,68
Gavin McCarthy,69,69
Alex Pharand,70,70
Aiden Fink,71,71
Jacob Fowler,72,72
Quinton Burns,73,73
Jesse Kiiskinen,74,74
Alex Ciernik,75,75
Felix Under Sorum,76,76
Hoyt Stanley,77,77
Nick Lardis,78,78
Alexander Rykov,79,79
Garyn Sawchyn,80,80
Tristan Bertucci,81,81
Martin Misiak,82,82
Caden Price,83,83
Noah Dower Nilsson,84,84
Zach Nehring,85,85
Brandon Svoboda,86,86
Dylan Mackinnon,87,87
Jonathan Castagna,88,88
Albert Wikman,89,89
William Whitelaw,90,90
Larry Keenan,91,91
Rasmus Kumpulainen,92,92
Aram Minnetian,93,93
Roman Kantserov,94,94
Cameron Allen,95,95
Zaccharya Wisdom,96,96
Michael Emerson,97,97
Tuomas Uronen,98,98
Jesse Nurmi,99,99
Tanner Ludtke,100,100
Zeb Forsfjall,101,101
Frantisek Dej,102,102
Luca Pinelli,103,103
Timur Mukhanov,104,104
Beckett Hendrickson,105,105
Konnor Smith,106,106
Yegor Sidorov,107,107
Drew Fortescue,108,108
Yegor Rimashevskiy,109,109
Tyler Peddle,110,110
Luke Mcnamara,111,111
Noel Nordh,112,112
Gabriel Szturc,113,113
Denver Barkey,114,114
Aydar Suniev,115,115
Jaden Lipinski,116,116
Ruslan Khazheyev,117,117
Brady Cleveland,118,118
Matteo Mann,119,119
Chase Cheslock,120,120
Brad Gardiner,121,121
Paul Fischer,122,122
Connor Levis,123,123
Hudson Malinoski,124,124
Sawyer Mynio,125,125
Jayson Shaugabay,126,126
Daniil Karpovich,127,127
Max Lundgren,128,128
Milton Oscarson,129,129
Matteo Fabrizi,130,130
Joseph Connor,131,131
Jake Fisher,132,132
Austin Roest,133,133
Cam Squires,134,134
Alexander Hellnemo,135,135
Scott Ratzlaff,136,136
Jakub Stancl,137,137
Zachara Schulz,138,138
Sean Keohane,139,139
Samuel Mayer,140,140
Anthony Romani,141,141
Matthew Mania,142,142
Cole Knuble,143,143
Nicholas Vantassell,144,144
Nikita Susuyev,145,145
Aaron Pionk,146,146
Kalem Parker,147,147
Andrei Loshko,148,148
Carter Sotheran,149,149
Stephen Peck,150,150
Casper Nassen,151,151
Ivan Anoshko,152,152
Francesco Dell'Elce,153,153
Emil Jarventie,154,154
Petter Vesterheim,155,155
Vadim Moroz,156,156
Tanner Adams,157,157
Kaden Hammell,158,158
Mazden Leslie,159,159
Deagan Mcmillan,160,160
Benjamin Poitras,161,161
Janne Peltonen,162,162
Egor Zavragin,163,163
Michael Hagens,164,164
Ethan Gardula,165,165
Nathaniel Day,166,166
Kalle Kangas,167,167
Ty Halaburda,168,168
Tommaso De Luca,169,169
Konstantin Volochko,170,170
Matt Copponi,171,171
Jordan Tourigny,172,172
Carsen Musser,173,173
Teddy Townsend,174,174
Chris Able,175,175
Ryan Koering,176,176
Kristan Kostadinski,177,177
Gavyn Thoreson,178,178
Jeremy Hanzel,179,179
Adam Cedzo,180,180
Axel Hurtig,181,181
Ryan Conmy,182,182
Juha Jatkola,183,183
Ethan Hay,184,184
Dominik Petr,185,185
Hugo Hell,186,186
Stanislav Berezhnoy,187,187
Bogdan Konyushkov,188,188
Rasmus Larsson,189,189
Hannes Hellberg,190,190
Alexander Weiermair,191,191
Saige Weinstein,192,192
Zachary Sharp,193,193
Samu Bau,194,194
Anton MacDonald,195,195
Ondrej Molnar,196,196
Wiliam Vote,197,197
Joe Palodichuk,198,198
Michael Deangelo,199,199
David Klee,200,200
Charles-Alexis Legault,201,201
Samuel Urban,202,202
Samuel Fiala,203,203
Lukas Matecha,204,204
Hunter Anderson,205,205
Chase Pirtle,206,206
Norwin Panocha,207,207
Rodwin Dionicio,208,208
Nikita Ishmnikov,209,209
Ty Henricks,210,210
Nils Wallstrom,211,211
Eric Pohlkamp,212,212
Ivan Remezovsky,213,213
Antoine Keller,214,214
Christian Maro,215,215
Filip Eriksson,216,216
Kristers Steinbergs,217,217
Luke Mittelstadt,218,218
Luke Coughlin,219,219
Eli Sebastian,220,220
Artyom Kashtanov,221,221
Josh Giuliani,222,222
Nikita Nedopekin,223,223
Joey Willis,224,224
