PLAYER_NAME,PLAYER_ID,RANK
Connor Bedard,1,1
Adam Fantilli,2,2
Will Smith,4,3
Matvei Michkov,8,4
Leo Carlsson,3,5
Zach Benson,14,6
David Reinbacher,5,7
Dalibor Dvorsky,6,8
Gabriel Perreault,9,9
Nate Danielson,11,10
Tom Willander,10,11
Ryan Leonard,7,12
Daniil But,17,13
Samuel Honzek,15,14
Oliver Moore,18,15
Dmitri Simashev,13,16
Colby Barlow,16,17
Axel Sandin Pellikka,20,18
Matthew Wood,12,19
Brayden Yager,19,20
Eduard Sale,28,21
David Edstrom,21,22
Charlie Stramel,29,23
Andrew Cristall,45,24
Tanner Molendyk,27,25
Oliver Bonk,22,26
Calum Ritchie,23,27
Quentin Musty,24,28
Danny Nelson,32,29
Mikhail Gulyayev,34,30
Otto Stenberg,35,31
Gavin Brindley,30,32
Bradly Nadeau,31,33
Lukas Dragicevic,36,34
Anton Wahlberg,33,35
Riley Heidt,49,36
Maxim Strbak,38,37
Michael Hrabal,26,38
Ethan Gauthier,46,39
Oscar Fisker Molgaard,42,40
Felix Nilsson,43,41
Jayden Perron,67,42
Etienne Morin,25,43
Theo Lindstein,39,44
Hunter Brzustewicz,66,45
Arttu Karki,68,46
Carson Rehkopf,37,47
Kasper Halttunen,44,48
Juraj Pekarcik,48,49
Jesse Kiiskinen,74,50
Nick Lardis,78,51
Nico Myatovic,50,52
Caden Price,83,53
Koehn Ziemmer,59,54
Luca Cagnoni,47,55
Carson Bjarnason,51,56
Trey Augustine,52,57
Carey Terrance,55,58
Kalan Lind,40,59
Alex Ciernik,75,60
Adam Gajan,56,61
Cam Allen,95,62
Noah Dower Nilsson,84,63
Beau Akey,41,64
