PLAYER_NAME,PLAYER_ID,RANK
Connor Bedard,1,1
Adam Fantilli,2,2
Leo Carlsson,3,3
Will Smith,4,4
Matvei Michkov,8,5
Zachary Benson,14,6
Dalibor Dvorsky,6,7
Ryan Leonard,7,8
Dmitri Simashev,13,9
Matthew Wood,12,10
Oliver Moore,18,11
Colby Barlow,16,12
Nate Danielson,11,13
Axel Sandin Pelikka,20,14
Daniil But,17,15
David Reinbacher,5,16
Eduard Sale,28,17
Samuel Honzek,15,18
Mikhail Gulyayev,34,19
Lukas Dragicevic,36,20
Gabe Perrault,9,21
Otto Stenberg,35,22
Tom Willander,10,23
Calum Ritchie,23,24
Andrew Cristall,45,25
Gavin Brindley,30,26
Bradly Nadeau,31,27
Anton Wahlberg,33,28
Riley Heidt,49,29
Brayden Yager,19,30
David Edstrom,21,31
Nick Lardis,78,32
