PLAYER_NAME,PLAYER_ID,RANK
Connor Bedard,1,1
Adam Fantilli,2,2
Zachary Benson,14,3
Will Smith,4,4
Matvei Michkov,8,5
Leo Carlsson,3,6
Ryan Leonard,7,7
Axel Sandin Pelikka,20,8
Colby Barlow,16,9
Dmitri Simashev,13,10
David Reinbacher,5,11
Eduard Sale,28,12
Nate Danielson,11,13
Dalibor Dvorsky,6,14
Andrew Cristall,45,15
Matthew Wood,12,16
Oliver Moore,18,17
Quentin Musty,24,18
Tom Willander,10,19
Brayden Yager,19,20
Gabe Perrault,9,21
Gavin Brindley,30,22
Ethan Gauthier,46,23
Daniil But,17,24
Calum Ritchie,23,25
Lukas Dragicevic,36,26
Anton Wahlberg,33,27
Gracyn Sawchyn,80,28
Otto Stenberg,35,29
Samuel Honzek,15,30
Oliver Bonk,22,31
Caden Price,83,32
Oscar Fisker Molgaard,42,33
Riley Heidt,49,34
Tanner Molendyk,27,35
Maxim Strbak,38,36
Alex Ciernik,75,37
Noah Dower-Nilsson,84,38
Beau Akey,41,39
Koehn Ziemmer,59,40
Jesse Nurmi,99,41
Mikhail Gulyayev,34,42
David Edstrom,21,43
Michael Hrabal,26,44
Bradly Nadeau,31,45
Nick Lardis,78,46
Tristan Bertucci,81,47
Hunter Brzustewicz,66,48
Jacob Fowler,72,49
Charlie Stramel,29,50
William Whitelaw,90,51
Theo Lindstein,39,52
Etienne Morin,25,53
Aram Minnetian,93,54
Danny Nelson,32,55
Felix Unger Sorum,76,56
Jayden Perron,67,57
Matthew Mania,142,58
Aydar Suniev,115,59
Trey Augustine,52,60
Luca Pinelli,103,61
Timur Mukhanov,104,62
Luca Cagnoni,47,63
Andrew Strathmann,63,64
