PLAYER_NAME,PLAYER_ID,RANK
Connor Bedard,1,1
Adam Fantilli,2,2
Matvei Michkov,8,3
Leo Carlsson,3,4
Zachary Benson,14,5
Will Smith,4,6
Oliver Moore,18,7
Axel Sandin Pellikka,20,8
Gavin Brindley,30,9
Dmitri Simashev,13,10
Ryan Leonard ,7,11
Andrew Cristall,45,12
Quentin Musty,24,13
Nate Danielson,11,14
Jayden Perron,67,15
Mikhail Gulyayev,34,16
Riley Heidt,49,17
Eduard Sale,28,18
Dalibor Dvorsky,6,19
David Reinbacher,5,20
Gracyn Sawchyn,80,21
Otto Stenberg,35,22
William Whitelaw,90,23
Samuel Honzek,15,24
Timur Mukhanov,104,25
Brayden Yager,19,26
Gabe Perreault,9,27
Oscar Fisker Molgaard,42,28
Daniil But,17,29
Colby Barlow,16,30
Matthew Wood,12,31
Bradly Nadeau,31,32
Calum Ritchie,23,33
Beau Akey,41,34
Tom Willander,10,35
Alex Ciernik,75,36
Luca Pinelli,103,37
Denver Barkey,114,38
Michael Hrabal,26,39
Tanner Molendyk ,27,40
Trey Augustine,52,41
Charlie Stramel,29,42
Luca Cagnoni,47,43
Lukas Dragicevic,36,44
Anton Wahlberg,33,45
Kalan Lind,40,46
Aydar Suniev,115,47
Nick Lardis,78,48
Lenni Hameenaho,58,49
Caden Price,83,50
Jacob Fowler,72,51
Kasper Halttunen,44,52
Andrew Strathmann,63,53
David Edstrom,21,54
Aram Minnetian,93,55
Matthew Mania,142,56
